Date,Unhedged_Portfolio_Value,Hedged_Portfolio_Value,Daily_Hedge_Ratio
2022-11-07,122335.68129633598,104946.62351273978,308.69368544381047
2022-11-08,122986.66585890204,104979.36142922982,310.6017871079302
2022-11-09,120746.32725550632,105124.00167931213,318.9499048437702
2022-11-10,127332.35261461754,105273.83423380041,324.03675290898025
2022-11-11,128468.06915594448,105232.37859391344,322.3285858448082
2022-11-14,127091.4970281746,104971.09976293925,323.44897358392654
2022-11-15,128405.72582577165,105183.13838811885,326.6554615129288
2022-11-16,127003.22610911672,104824.12690149814,328.48827114810024
2022-11-17,126402.5245305738,104650.49183495612,334.639691724525
2022-11-18,127015.09121309074,104682.11135657484,333.5313856599212
2022-11-21,126611.60097898995,104730.04056587807,333.2778767279234
2022-11-22,128217.23260279204,104650.88775591922,332.67801290522834
2022-11-23,128914.96608263985,104544.82749155187,340.990314440563
2022-11-25,129210.96821584173,104810.46674376451,365.0522707556965
2022-11-28,127130.28503798376,104906.28949009138,355.8411478201617
2022-11-29,127397.90094223304,105314.10893601365,347.5850269421987
2022-11-30,130645.6244401,105045.9175066498,296.40543506051637
2022-12-01,130399.3031572704,104914.64216877858,287.3255322371082
2022-12-02,130183.51395289616,104844.6963266159,284.7209860028159
2022-12-05,127765.98440606448,104577.82996929873,295.9675655773102
2022-12-06,125966.28642642312,104459.43631992818,298.6773433617999
2022-12-07,125570.68595498832,104289.7098054959,295.67688136323073
2022-12-08,126609.31832088626,104418.07601573925,298.3912631869289
2022-12-09,125587.71820017757,104276.2343601495,298.07649988271004
2022-12-12,127599.30369684628,104566.48206483253,305.07058537386575
2022-12-13,128294.8341754223,104406.76153824355,305.73141774371487
2022-12-14,127144.13217948386,104157.99747594468,340.7763110928581
2022-12-15,124082.65747733922,104213.90841687265,333.000303751585
2022-12-16,122782.4865474933,104349.55950028678,330.6275602812046
2022-12-19,121602.28894969204,104229.01785646277,330.09144875344015
2022-12-20,122045.86083225242,104464.58001366201,336.39052914673937
2022-12-21,123969.5115977232,104514.81590035923,339.29379638943936
2022-12-22,122259.2345819695,104586.68408759253,337.2237891763114
2022-12-23,122996.03842452962,104607.14566716211,336.7952228781634
2022-12-27,122703.06716764596,104768.46559189567,331.14362874975575
2022-12-28,121352.45457804132,104935.90196132423,338.0053137308622
2022-12-29,123450.00575062342,104882.06908670967,329.26932224561034
2022-12-30,123063.00199047085,104823.90154593326,326.0704890706893
2023-01-03,122845.1852832262,105070.47865260235,326.7039703532839
2023-01-04,124194.18244559948,105430.47776882444,327.58170325707994
2023-01-05,122307.6683147531,105064.13352982304,342.2867951186553
2023-01-06,125368.93952375876,105182.72802929512,348.26098038469877
2023-01-09,125769.37679210736,105580.78835217722,349.3854338637947
2023-01-10,126823.18082065597,105691.7411011282,350.95942757337207
2023-01-11,128083.47058884671,105378.92936000515,341.56119007813805
2023-01-12,128677.5853665935,105469.45169199246,348.07297389851277
2023-01-13,129327.83002456665,105564.93367757944,358.9087788003027
2023-01-17,129233.45376661095,105692.37910380367,355.3171152825024
2023-01-18,126960.36105134244,105663.03255553458,367.81205088381336
2023-01-19,125635.5577215598,105409.83345703688,369.22387569607037
2023-01-20,127992.46148724176,105314.27031833347,353.0449439952546
2023-01-23,129393.708147449,105174.84518020062,341.6785537781967
2023-01-24,129063.9102953034,105024.6903809597,348.4195602619986
2023-01-25,129145.7910135481,105050.62163600892,344.96738005400374
2023-01-26,130477.91289069736,104912.0030258111,352.9794959392339
2023-01-27,130607.37587813126,104761.47178607967,351.7653263311223
2023-01-30,129198.35741477892,104960.32629032346,337.3131367707258
2023-01-31,130963.61081887664,104834.08389277902,336.94708786224146
2023-02-01,132423.01268924974,104886.21658243831,334.0074559005674
2023-02-02,133556.87621940655,104398.08855873348,300.9374862097062
2023-02-03,131964.89403695017,104160.83527617106,300.45936806648183
2023-02-06,131154.21462740234,104093.73805765361,297.83995675228357
2023-02-07,132462.45660180834,103926.7522455197,292.1671243160375
2023-02-08,131248.2798556767,103967.17089061797,288.8836254567751
2023-02-09,129753.13982586296,103582.35074016154,292.46479727286413
2023-02-10,130284.03427830248,103790.7100537937,294.38838246015933
2023-02-13,131543.39732192893,103688.17958864466,299.12837598162594
2023-02-14,131474.71849594687,103676.44295881086,292.86406130008794
2023-02-15,132658.00851609983,104313.76436051738,291.2039749819069
2023-02-16,131089.008207154,104434.26539558907,313.14870477948494
2023-02-17,130643.2462923635,104319.0932093514,305.14980771493515
2023-02-21,128099.65020171068,104248.22490094705,310.9839597338949
2023-02-22,127891.33936213078,104220.58250936981,327.7941959336115
2023-02-23,128285.94837174324,104002.6395809692,322.30342585741795
2023-02-24,126863.32523266514,103914.31855357777,317.3531281634622
2023-02-27,127150.39782358595,103816.62165411636,310.98649350018803
2023-02-28,126998.67214221224,104067.39781333627,323.696452935667
2023-03-01,126768.43334589996,104270.52185361538,326.01434678494246
2023-03-02,127710.69081346288,104305.48883732129,303.0466179799717
2023-03-03,129492.83049533029,104229.11923078269,303.46503088851676
2023-03-06,129246.88769552315,103965.39145729087,301.0375772208542
2023-03-07,127204.10877790287,103787.18660274586,303.6927341300313
2023-03-08,127469.59575954908,103847.64698725428,304.67442798698033
2023-03-09,124555.65741590536,103428.84488592723,335.75672213016963
2023-03-10,122030.42169718177,102940.53730401809,352.5444600527971
2023-03-13,121294.70615284712,102477.60601924181,349.93492510842356
2023-03-14,123293.99519793491,102332.48989703222,352.52123793071945
2023-03-15,121734.5189851845,101745.21905917513,357.35082293758006
2023-03-16,123761.3389110499,101483.25747076292,354.101826272122
2023-03-17,121990.21234878917,101338.06643999617,355.05545088875283
2023-03-20,123348.4866376708,101371.03626661202,362.874371294997
2023-03-21,125193.90943535998,101320.41871390074,380.7672355074306
2023-03-22,122372.7109451524,101068.12708343985,378.1453052132229
2023-03-23,121679.71016654358,100172.05681840831,377.8464853234512
2023-03-24,122220.8396374078,99838.19242095712,377.30405756524283
2023-03-27,122870.38017254668,100149.53380873226,375.01217241958307
2023-03-28,122880.24097333432,100418.99438522944,372.20826724716613
2023-03-29,124755.23775112689,100293.24694710276,363.8452965130007
2023-03-30,125481.52804861648,100191.23160113794,374.08765939916856
2023-03-31,127306.00614371484,99991.37280388415,375.8996757876215
2023-04-03,127387.64741411115,99611.15948305275,372.49844009029954
2023-04-04,126319.52619432416,99410.66610345375,365.79848816340194
2023-04-05,125772.31395673347,99261.95887047838,344.4244418310087
2023-04-06,125768.80072770704,98848.49111435127,335.919946159684
2023-04-10,126440.07812224388,99270.44104899892,331.2202323017192
2023-04-11,127208.48638808,99846.81862069237,322.89622151496536
2023-04-12,126658.15017512788,99839.21805885732,333.50269543948036
2023-04-13,127872.60143607402,99562.11106384185,296.633403155187
2023-04-14,127545.260194165,99532.15357378495,294.6767381688609
2023-04-17,128316.52151424016,99825.73089819946,275.7416846605087
2023-04-18,128604.17721554352,99991.48276952926,285.04935992239103
2023-04-19,128619.31288319836,100016.3172162575,247.67546621170536
2023-04-20,127652.0582910654,99720.17600997645,266.80787399183055
2023-04-21,127483.12503300227,99519.50516653278,282.6028877173857
2023-04-24,127370.0662414968,99339.96326792969,279.6722167530912
2023-04-25,125233.74931939444,99179.93627082273,303.5257212769316
2023-04-26,124471.92717570794,98982.43055929845,306.420019618797
2023-04-27,126437.1779154362,98696.06665677587,296.4505468944694
2023-04-28,127440.27973512169,98679.6088383858,299.6399324693773
2023-05-01,127348.16238591934,98701.19984045281,294.4989084350331
2023-05-02,125680.75853758576,98458.00649239925,298.11692399842235
2023-05-03,124490.27367375372,98168.63350592295,299.23659732449266
2023-05-04,123794.77376716815,98268.45577126463,293.5599211257784
2023-05-05,126129.98941545768,98345.72105661978,307.5702594904422
2023-05-08,126444.28025538308,98565.15235266976,308.56761886839143
2023-05-09,126164.31196932176,98759.41115071901,301.9225621184381
2023-05-10,126372.81822756304,98489.69571909241,295.93612263188663
2023-05-11,126073.98701823728,98430.363818081,318.52561780087126
2023-05-12,125830.96139022388,98371.94856096718,320.7550773282981
2023-05-15,126505.92897676496,98549.41681661773,325.67451955222987
2023-05-16,125174.42187748587,98200.64798540884,328.6844981125483
2023-05-17,126865.8364483521,98294.25362353075,325.72894918325943
2023-05-18,128092.57733967778,98239.68690689867,334.17313768867666
2023-05-19,127799.77662325135,98171.83331926771,344.85523168941654
2023-05-22,128267.32944074603,98487.37190980237,345.2567005573085
2023-05-23,126753.44875459428,98550.49697022206,349.7217726560464
2023-05-24,125368.97229768665,98314.97632833841,370.10865280076337
2023-05-25,125738.3349703163,97688.4553336457,336.2387742368208
2023-05-26,127045.8426801875,97393.64580451668,322.8900399507113
2023-05-30,127045.35591836022,97355.15755114723,320.02012330233225
2023-05-31,126435.8341008936,97412.76324440165,303.02942692686776
2023-06-01,127567.93537500178,97419.2897147706,291.4878004769235
2023-06-02,129935.20362620147,97786.89976597839,319.85665140895065
2023-06-05,129524.6994112112,97669.95376992167,320.1822442119633
2023-06-06,130062.11257992376,97855.18116819867,323.92218689852194
2023-06-07,130352.48793418016,98403.29550038939,306.79326426661123
2023-06-08,130813.40517068804,98235.42216695882,272.2233570075212
2023-06-09,130843.2011753983,98093.0282903815,293.15375457481844
2023-06-12,131917.47056280522,98024.54864403736,307.7098466289317
2023-06-13,133007.86819313077,98200.42195681567,308.0855771209492
2023-06-14,132791.30145664504,97921.41556813753,318.84110077260794
2023-06-15,134573.5439222078,97966.36336005185,327.5752967769212
2023-06-16,134322.22467465544,98075.31275061822,274.4841886456966
2023-06-20,133213.00362464815,97752.21273927677,299.2813529387842
2023-06-21,132844.92581458585,97941.75690226864,287.7518720611136
2023-06-22,132569.35979498693,97385.71302831588,311.19102337927137
2023-06-23,131568.85297817813,97382.56978071673,309.9260763614491
2023-06-26,131757.5627391449,97890.49881410226,290.16367245383356
2023-06-27,133421.13459679464,98072.01719026016,308.54301219756655
2023-06-28,133670.1838265511,98207.58494023985,301.9460894661867
2023-06-29,134544.115598755,98468.93940804867,310.1093541794767
2023-06-30,135948.15205526608,98428.34865519984,289.42482641668335
2023-07-03,136423.26629040978,98667.26534684382,292.80640616047043
2023-07-05,136127.87168760874,98580.8296176178,273.3864995261183
2023-07-06,134857.12560208607,98396.53979916366,300.21372822963605
2023-07-07,134929.0032688057,98692.54368029087,309.6756074818994
2023-07-10,135962.77379140534,99210.31256681703,302.951617127695
2023-07-11,137503.4976360762,99662.8627701056,339.1692577833363
2023-07-12,137758.1892760262,99114.01043954275,290.0286629496918
2023-07-13,139131.65852483435,99361.78661514164,299.0398914075051
2023-07-14,138460.44562378802,98943.56372081161,312.5191996456614
2023-07-17,139069.2819360381,99013.39111293879,336.6706278329562
2023-07-18,140140.18231156698,98997.51173565238,335.1074572438356
2023-07-19,140782.57921463632,99222.47380610589,330.04327041083377
2023-07-20,140523.17134996288,99539.07999725189,242.04889587891063
2023-07-21,140734.58188479446,99688.83188469298,248.98671743549082
2023-07-24,141264.35879321807,99714.86251227559,250.391633593157
2023-07-25,141554.51446844082,99731.29591810882,220.80030836387786
2023-07-26,141862.0545770678,99934.98646678151,270.754474393836
2023-07-27,140778.03800865237,99761.19768203846,284.34288548375633
2023-07-28,141228.00314642547,99443.92226501166,206.67161622427759
