,beta
2020-08-07,0.9174766333821429
2020-08-10,0.9174766333821429
2020-08-11,0.9174766333821429
2020-08-12,0.9174766333821429
2020-08-13,0.9174766333821429
2020-08-14,0.9174766333821429
2020-08-17,0.9174766333821429
2020-08-18,0.9174766333821429
2020-08-19,0.9174766333821429
2020-08-20,0.4905776067366848
2020-08-21,0.47466498790013323
2020-08-24,0.6144483361958373
2020-08-25,0.7605460422351864
2020-08-26,0.6385355370002217
2020-08-27,0.6154985862624014
2020-08-28,0.7025559635133839
2020-08-31,0.7424351631411352
2020-09-01,0.7399265920884186
2020-09-02,0.9819508049739759
2020-09-03,0.78628667063793
2020-09-04,0.7719853206401107
2020-09-08,0.7823965981400277
2020-09-09,0.7845657423850838
2020-09-10,0.8279284012416049
2020-09-11,0.8238468973051769
2020-09-14,0.8350493646462861
2020-09-15,0.825997764694332
2020-09-16,0.8364056336319762
2020-09-17,0.8215211981642592
2020-09-18,0.833115230071893
2020-09-21,0.8716770833808302
2020-09-22,0.8671961461593775
2020-09-23,0.9206686319136604
2020-09-24,0.9071916742013671
2020-09-25,0.9099630723148955
2020-09-28,0.9313528342745118
2020-09-29,0.9421802962589637
2020-09-30,0.9589152561648941
2020-10-01,0.9713785718205135
2020-10-02,0.9482129273219368
2020-10-05,0.8894849633208383
2020-10-06,0.8832758094030048
2020-10-07,0.8262058272635475
2020-10-08,0.8177718429396073
2020-10-09,0.8100027399140595
2020-10-12,0.733125605253339
2020-10-13,0.7720001171647161
2020-10-14,0.7721055641865466
2020-10-15,0.7612154600306961
2020-10-16,0.8005425922087859
2020-10-19,0.8225110981135776
2020-10-20,0.8459905967647958
2020-10-21,0.8300198209424269
2020-10-22,0.8151066485007785
2020-10-23,0.851862833302873
2020-10-26,1.1029748741093155
2020-10-27,1.091278692077118
2020-10-28,0.946846064058091
2020-10-29,0.9431270210264783
2020-10-30,0.9207751236873755
2020-11-02,0.9818356084775193
2020-11-03,0.9956841811080672
2020-11-04,0.9015887828415509
2020-11-05,0.8965419453661478
2020-11-06,0.8944210806589601
2020-11-09,0.9240478971128413
2020-11-10,0.8899423702665081
2020-11-11,0.766031315255238
2020-11-12,0.8875319296163464
2020-11-13,0.9411001508911188
2020-11-16,0.9367556734974024
2020-11-17,0.9363795777922433
2020-11-18,1.1464333812902767
2020-11-19,1.283989676548599
2020-11-20,1.2732899959919148
2020-11-23,1.0688306556576452
2020-11-24,1.0642683043099996
2020-11-25,1.116953429979598
2020-11-27,1.0798508065100731
2020-11-30,1.0874875847871328
2020-12-01,0.9850256177138071
2020-12-02,1.0009692863665423
2020-12-03,0.994768054526658
2020-12-04,1.0452637208207542
2020-12-07,1.1366273836173502
2020-12-08,1.107414782235361
2020-12-09,0.9866737595786492
2020-12-10,0.968940188778682
2020-12-11,1.006209924979822
2020-12-14,0.979185136875262
2020-12-15,1.0721129915873089
2020-12-16,1.0689870721023307
2020-12-17,1.099594585650111
2020-12-18,0.9664556715523864
2020-12-21,0.9609832303537265
2020-12-22,0.9657699031914416
2020-12-23,1.057725494676115
2020-12-24,1.0535399019880336
2020-12-28,0.8997498954504314
2020-12-29,0.9058325579298387
2020-12-30,0.7713020154949337
2020-12-31,0.8609188702430324
2021-01-04,1.1245130482671353
2021-01-05,1.2316759385671472
2021-01-06,1.3534279917736476
2021-01-07,1.2018099031387266
2021-01-08,1.2005645278948922
2021-01-11,1.1227595948931361
2021-01-12,1.197782432157271
2021-01-13,1.1637286530486193
2021-01-14,1.1269558535125672
2021-01-15,1.1265416095394596
2021-01-19,0.88200425934278
2021-01-20,0.7370279897032365
2021-01-21,0.7021420908208584
2021-01-22,0.6176456285653648
2021-01-25,0.5663070738464638
2021-01-26,0.6208399566792361
2021-01-27,0.8338227917273988
2021-01-28,0.9407915102663787
2021-01-29,0.9057733651281941
2021-02-01,0.9109347480375969
2021-02-02,0.9343358324200968
2021-02-03,0.9732354018489939
2021-02-04,0.9901635491159247
2021-02-05,0.9882128580459087
2021-02-08,1.0037083176044022
2021-02-09,0.995879856789544
2021-02-10,0.9248306880394979
2021-02-11,0.8925710311077537
2021-02-12,0.8741044901008418
2021-02-16,1.0013733658273833
2021-02-17,1.0322167421450124
2021-02-18,1.0910558928780152
2021-02-19,0.8863703114499497
2021-02-22,0.7521323166582342
2021-02-23,0.5436956632273061
2021-02-24,0.7580715226671872
2021-02-25,0.919642918241758
2021-02-26,0.921545701825049
2021-03-01,0.8748248759260981
2021-03-02,0.876943692939327
2021-03-03,0.8769158032951108
2021-03-04,0.9053735924631158
2021-03-05,0.9020759485057183
2021-03-08,0.9138117217521894
2021-03-09,0.8968792903407196
2021-03-10,0.8953204614916541
2021-03-11,0.8924396929356836
