Date,AAPL_SMA_20,AMZN_MACD,^VIX_SMA_20,AMZN_RSI_14,AAPL_Return_1d,^VIX_BB_lower,AMZN_Return_5d,^VIX_Return_5d,TSLA_SMA_20,TSLA_Return_1d,TSLA_MACD,GOOGL_Return_1d,^VIX_MACD_signal,MSFT_RSI_14,GOOGL_MACD,AAPL_Volatility_20,AMZN_Return_10d,MSFT_MACD,^VIX_Volatility_20,AAPL_MACD
2020-09-18,116.9057228088379,-1.7868678761839192,26.385499954223633,35.62321673479467,-0.031720052331848714,20.213566056096646,-0.051764674774733344,-0.03870490818924055,140.03163261413573,0.04421041843491591,10.256129234261806,-0.024175508595422168,1.592537333730788,38.199995205342255,-0.16169235262759685,7.455522819904073,-0.12265140135310304,-1.7283005739854218,3.1661352849894095,-0.37170881484649954
2020-09-21,116.21071548461914,-2.426326824201368,26.64749994277954,36.06337779438039,0.030325627969530977,20.710367136949923,-0.04592374445947667,0.07466151940791765,140.68819923400878,0.016374511668703073,10.220364871886716,-0.014437380734439453,1.489927409049112,40.73869246220626,-0.5529955661983763,7.699913416810397,-0.10142295006831814,-2.0625615245997437,3.045684866117873,-0.7545410126386685
2020-09-22,115.52750205993652,-2.2275178411890693,26.87199993133545,47.7289234901215,0.01571583024611889,21.268645885303055,-0.008599201296228043,0.0496287788273122,141.04469947814943,-0.055986946823462835,9.406851837253328,0.02075318594908704,1.395772724604342,46.1462909553857,-0.7355943460583347,7.725779812778971,-0.006619453415022569,-1.9270687130129431,2.874459975148997,-0.9116415315536699
2020-09-23,114.66640510559083,-2.561419207837446,27.199499893188477,41.48313341547851,-0.041945983166722045,22.016545800896644,-0.025418294366685634,0.09754220118572032,140.6395664215088,-0.10341090738483938,7.49574949523344,-0.03454527693413734,1.336113701188076,40.566867542943776,-1.07021892098129,7.989758834836814,-0.08222149666764111,-2.3222206110739023,2.658799349271288,-1.3882592863870258
2020-09-24,113.77624588012695,-2.7143395450238472,27.461499881744384,42.72882170788486,0.010268660606939317,22.57849607157164,0.003676029814770443,0.07747548054951259,139.9255001068115,0.0195341463945935,6.110594505735577,0.009557247312371286,1.297041236760881,43.373644531360874,-1.2667871832508268,7.995881102960919,-0.04891793698698599,-2.406154443736739,2.5049281011932583,-1.660503470064313
2020-09-25,113.1571086883545,-2.502714993450411,27.55699987411499,47.296234541308266,0.03751602721715175,22.839865272712355,0.047453233097678016,0.02129304059949977,139.25200004577636,0.05041385121376596,5.475570439067553,0.01138547785455235,1.2359811294624676,48.07622998185102,-1.3421273973225283,7.836043221904781,-0.006767842855366135,-2.089776283614725,2.4198389924554484,-1.5398396855372454
2020-09-28,112.67816696166992,-1.9936107549013684,27.71849994659424,51.64643156172446,0.023869152173677577,23.441318171025735,0.07214395660264628,-0.05723542524432845,138.8939998626709,0.034025594039789775,5.284191416820477,0.013620025346676723,1.1584920971768244,49.651773579599976,-1.3081490227931596,7.594569708785464,0.02290709151585424,-1.6939709435482655,2.194147954833219,-1.2197958130502116
2020-09-29,111.9510597229004,-1.688367968589148,27.711499977111817,50.003568930667996,-0.007567878387778948,23.425326439458345,0.0050783794206499255,-0.021965753506368535,137.57316627502442,-0.005056919415549199,5.017394386827846,0.005045838540743697,1.0734037503381264,47.56041697955186,-1.23743834775523,6.970958760259815,-0.003564491882474985,-1.531579238354709,2.198760631456357,-1.0226569168089839
2020-09-30,111.05761947631837,-1.4146216791792483,27.723999977111816,50.228592284290194,0.015075732712151124,23.455041242116426,0.04962562847528784,-0.07732677013198808,136.80583229064942,0.02371912031427703,5.015497835528038,-0.00028658389484370606,0.9871617155111656,50.70909448679137,-1.1696021575923936,5.443673801355976,0.02294593527588562,-1.1516921405460039,2.189929624025028,-0.7230852662993357
2020-10-01,110.34704933166503,-0.894732751350972,27.73050003051758,54.39329141531483,0.008462262715912994,23.46819886493376,0.0667165694078613,-0.06348647672435925,136.81899909973146,0.04463774876849502,5.46606809382925,0.015215609631434646,0.9077325361934451,52.82550897255825,-1.014709748940362,3.8293106704312465,0.07063785132091405,-0.6777490044432,2.1865143629781576,-0.4040929089879768
2020-10-02,109.96477127075195,-0.8611592840088633,27.432000064849852,48.58297570885941,-0.032280282971439145,24.127061336644065,0.009650643129711867,0.047384383615108217,136.9538318634033,-0.0737906918190171,4.877432373413541,-0.021708415656750746,0.8495060067627788,46.49660142259518,-1.009855323086569,3.4298103554033856,0.05756183044536667,-0.7790682066980708,1.6953977950534498,-0.44210205730836094
2020-10-05,109.74785499572754,-0.5290865528310746,27.292500019073486,52.77097473091833,0.030791061294952904,24.34314232202808,0.007923676873741625,0.06758299023756509,137.0764980316162,0.025512531789757986,4.642262610485716,0.018707204285767,0.8109499784261864,50.74358963413903,-0.8865806566096808,3.03158878700958,0.08063927887690059,-0.5285595427811813,1.5129885748621403,-0.1968095751432486
2020-10-06,109.76439170837402,-0.6587156409830754,27.19350004196167,47.23001543695343,-0.0286694039724934,24.71500695462102,-0.014283547545143271,0.12219257817043516,138.472664642334,-0.02748539351192436,4.0939988943926835,-0.02145219919539887,0.8091466103255629,46.50270227191983,-0.9060154350347034,3.032457201420177,-0.00927770539840056,-0.668732514963807,1.2714401267020836,-0.26155458730860914
2020-10-07,109.65544738769532,-0.37094117950618966,27.15600004196167,52.41993127499887,0.016967024539877196,24.754989180511522,0.014913995850649009,0.06408792464635038,139.45633125305176,0.027344297266189477,3.91879872850717,0.005595852620120301,0.8059741525082964,50.41629456436089,-0.8787239753174276,2.904196905344791,0.06527974074310317,-0.4706089703071825,1.2316925834845265,-0.16031715348711373
