model,test_accuracy,test_f1,test_auc,test_precision,test_recall,train_time
Decision Tree,0.452675,0.505725,0.47046,0.565108,0.499545,0.008632
Logistic Regression,0.460905,0.358633,0.543063,0.710267,0.30356,0.002924
