,0
PC1,0.24680445536702542
PC2,0.22167660141085296
PC3,0.10955405685629235
PC4,0.052713411838768175
PC5,0.040547071997663664
PC6,0.0333318097555048
PC7,0.030690300952108247
PC8,0.02854086159783298
PC9,0.02513431498420942
PC10,0.022854123144068855
