Model,Primary_Metric,MSE,RMSE,MAE,R2,Accuracy,Precision,Recall,F1_Score,AUC
Random Forest (Regression),R² = -0.1362,0.0005532148324694008,0.022598302636124282,0.017487830557767526,-0.13621907707476352,,,,,
SVM (Classification),F1 = 0.635,,,,,0.5384615384615384,0.6403508771929824,0.6293103448275862,0.6347826086956522,0.5352737141530245
