Date,Unhedged_Portfolio_Value,Hedged_Portfolio_Value,Daily_Hedge_Ratio,Unhedged_Daily_TC,Unhedged_Cumulative_TC,Unhedged_Portfolio_Value_Net,Unhedged_Portfolio_Return_Net,Hedged_Equity_Daily_TC,Hedged_SPY_Daily_TC,Hedged_Daily_TC,Hedged_Cumulative_TC,Hedged_Portfolio_Value_Net,Hedged_Portfolio_Return_Net
2020-08-07,100000.0,100000.0,294.5121541401599,50.0,50.0,99950.0,,50.0,29.999999999999996,80.0,80.0,99920.0,
2020-08-10,100613.15061993514,100272.85386338418,295.43492501713143,0.0,50.0,100563.15061993514,0.0061345734860944745,0.0,30.081856159015253,30.081856159015253,110.08185615901525,100162.77200722517,0.0024296638032943463
2020-08-11,100361.1303102784,100781.10145053828,297.1477708857104,0.0,50.0,100311.1303102784,-0.002506090034999242,0.0,30.234330435161482,30.234330435161482,140.3161865941767,100640.7852639441,0.004772364493710768
2020-08-12,101124.06652962722,100258.05963650664,295.28962709801056,0.0,50.0,101074.06652962722,0.007605698559959739,0.0,30.077417890951992,30.077417890951992,170.39360448512872,100087.66603202152,-0.005495974921816749
2020-08-13,100898.6815860835,100200.89099264522,295.1650755077649,0.0,50.0,100848.6815860835,-0.0022298988383696594,0.0,30.060267297793562,30.060267297793562,200.45387178292228,100000.43712086229,-0.0008715250801364371
2020-08-14,100975.579737375,100274.53792501354,295.3812927874796,0.0,50.0,100925.579737375,0.0007625102290091945,0.0,30.08236137750406,30.08236137750406,230.53623316042635,100044.00169185312,0.0004356438056183354
2020-08-17,100942.1276128622,99949.05275192934,294.3483466637421,0.0,50.0,100892.1276128622,-0.00033145337980566847,0.0,29.9847158255788,29.9847158255788,260.5209489860051,99688.53180294334,-0.00355313544938618
2020-08-18,100909.4185199992,99718.55991754896,293.6186492968893,0.0,50.0,100859.4185199992,-0.000324198662838171,0.0,29.915567975264686,29.915567975264686,290.43651696126983,99428.12340058769,-0.0026122202589000665
2020-08-19,100575.2555585871,99769.25562060974,293.86985026935395,0.0,50.0,100525.2555585871,-0.0033131557400942757,0.0,29.930776686182917,29.930776686182917,320.36729364745275,99448.88832696229,0.00020884359137451902
2020-08-20,100282.16242537965,99326.12423569472,156.18892147090887,0.0,50.0,100232.16242537965,-0.0029156168922807035,0.0,29.797837270708413,29.797837270708413,350.16513091816114,98975.95910477656,-0.004755500339338803
2020-08-21,100192.59285901445,99070.17204447166,150.45403681069624,0.0,50.0,100142.59285901445,-0.0008936210114381948,0.0,29.721051613341498,29.721051613341498,379.88618253150264,98690.28586194017,-0.002886289210231041
2020-08-24,101338.00212267772,99585.90041848172,195.01142410426309,0.0,50.0,101288.00212267772,0.011437783174596206,0.0,29.875770125544513,29.875770125544513,409.7619526570472,99176.13846582467,0.0049230033092027
2020-08-25,101578.57198182787,99557.30006108464,241.10878016969244,0.0,50.0,101528.57198182787,0.002375107160853984,0.0,29.867190018325388,29.867190018325388,439.6291426753726,99117.67091840926,-0.000589532404869253
2020-08-26,101629.8723293185,98970.2240408757,200.520764514081,0.0,50.0,101579.8723293185,0.0005052799078058001,0.0,29.69106721226271,29.69106721226271,469.3202098876353,98500.90383098807,-0.006222574458281005
2020-08-27,102089.04174027662,99284.19045089766,193.7361135115741,0.0,50.0,102039.04174027662,0.004520279465104027,0.0,29.785257135269294,29.785257135269294,499.10546702290463,98785.08498387475,0.002885061373388842
2020-08-28,102695.60484746296,99423.52498458326,221.02474558017136,0.0,50.0,102645.60484746296,0.0059444218295410245,0.0,29.827057495374977,29.827057495374977,528.9325245182796,98894.59246006497,0.0011085426125623243
2020-08-31,102193.28268014712,99204.60392759184,233.2733278992544,0.0,50.0,102143.28268014712,-0.004893752324440226,0.0,29.76138117827755,29.76138117827755,558.6939056965572,98645.91002189528,-0.002514621193975941
2020-09-01,102795.82898135952,99098.15847826265,231.67383791342817,0.0,50.0,102745.82898135952,0.005899030121238713,0.0,29.72944754347879,29.72944754347879,588.423353240036,98509.7351250226,-0.0013804413872045007
2020-09-02,104380.91913602446,99218.76180032648,307.74226020195783,0.0,50.0,104330.91913602446,0.015427294425280458,0.0,29.765628540097943,29.765628540097943,618.188981780134,98600.57281854635,0.0009221189500556726
2020-09-03,101609.0603122028,99268.79043472,248.42699363588076,0.0,50.0,101559.0603122028,-0.02656795173258053,0.0,29.780637130415997,29.780637130415997,647.96961891055,98620.82081580945,0.0002053537488100332
2020-09-04,101305.48075273416,99597.89800361532,245.18159406939705,0.0,50.0,101255.48075273416,-0.002989192284129083,0.0,29.879369401084595,29.879369401084595,677.8489883116346,98920.04901530368,0.0030341280575334473
2020-09-08,98935.22751898436,99396.7282247167,249.49109897263497,0.0,50.0,98885.22751898436,-0.023408641350861292,0.0,29.81901846741501,29.81901846741501,707.6680067790496,98689.06021793766,-0.0023351059736159696
2020-09-09,100471.99109786248,99400.70544482248,249.14888851416924,0.0,50.0,100421.99109786248,0.015540881256334016,0.0,29.820211633446743,29.820211633446743,737.4882184124964,98663.21722640998,-0.0002618627786160621
