Date,Portfolio_Return,Portfolio_Value
2020-08-07,0.0,100000.0
2020-08-10,0.006131506199351494,100613.15061993514
2020-08-11,-0.002504844626213349,100361.1303102784
2020-08-12,0.007601909394504802,101124.06652962722
2020-08-13,-0.002228796282412951,100898.6815860835
2020-08-14,0.0007621323696473611,100975.57973737501
2020-08-17,-0.0003312892542910112,100942.12761286221
2020-08-18,-0.00032403807643590233,100909.41851999919
2020-08-19,-0.0033115140916788336,100575.2555585871
2020-08-20,-0.002914167421993108,100282.16242537963
2020-08-21,-0.0008931754581165198,100192.59285901443
2020-08-24,0.011432075276014109,101338.00212267772
2020-08-25,0.002373935286970837,101578.57198182787
2020-08-26,0.000505031193978617,101629.8723293185
2020-08-27,0.00451805557199025,102089.04174027662
2020-08-28,0.005941510438794066,102695.60484746296
2020-08-31,-0.004891369675089456,102193.28268014711
2020-09-01,0.0058961439089722095,102795.82898135953
2020-09-02,0.015419790572945903,104380.91913602446
2020-09-03,-0.02655522529179387,101609.0603122028
2020-09-04,-0.002987721356106276,101305.48075273416
2020-09-08,-0.023397087858801055,98935.22751898436
2020-09-09,0.015533027187745147,100471.99109786248
2020-09-10,-0.015604007837073183,98904.2253613651
2020-09-11,0.0013242584987458535,99035.20012236176
2020-09-14,0.013451049431620942,100367.32749467812
2020-09-15,0.0014661578201660478,100514.4818367736
2020-09-16,0.0033444432529428523,100850.64681737566
2020-09-17,-0.006275160281081763,100217.79284414585
2020-09-18,-0.008551965943643493,99360.73369279559
2020-09-21,-0.016670392252796117,97704.35128761106
2020-09-22,0.007559704231987174,98442.9672855236
2020-09-23,-0.02188119020977085,96288.91799353481
2020-09-24,-0.0008630326044759343,96205.81751785667
2020-09-25,0.014745601208400511,97624.43013690313
2020-09-28,0.018135022494366115,99394.85137343555
2020-09-29,-0.003946031309099852,99002.63617795263
2020-09-30,0.007986499642415162,99793.32069638603
2020-10-01,0.005057849454459745,100298.06028902897
2020-10-02,-0.0026240202157497487,100034.87615123008
2020-10-05,0.016340298580013037,101669.47589595578
2020-10-06,-0.010231061402173044,100629.28924533751
2020-10-07,0.01591704980923029,102231.01065452301
2020-10-08,0.010691557549711593,103324.019388301
2020-10-09,0.004876982513370545,103827.9288240689
2020-10-12,0.009482788583101073,104812.50712212882
2020-10-13,-0.008530889887166805,103918.36316507206
2020-10-14,-0.004517901414793832,103448.87024510551
2020-10-15,0.0033717004992648227,103797.66885255932
2020-10-16,0.001020209894521443,103903.56426135094
2020-10-19,-0.014863246458870777,102359.21997777937
2020-10-20,0.003976427406297623,102766.24398538627
2020-10-21,-0.004887976520696371,102263.92499766554
2020-10-22,0.008329618164921606,103115.74444494228
2020-10-23,0.0036969226960299182,103496.9553808988
2020-10-26,-0.0200491035226387,101421.93420818925
2020-10-27,-0.011008696709081726,100305.41089484286
2020-10-28,-0.029664197852509712,97329.93134038096
2020-10-29,0.010270991274078538,98329.60621588468
2020-10-30,-0.0045211422696342495,97885.04407686554
2020-11-02,0.018016467437396357,99648.5867860845
2020-11-03,0.019410031219392013,101582.7689665707
2020-11-04,0.012061445053111032,102808.00395280388
2020-11-05,0.017680902300150497,104625.74222636689
2020-11-06,0.002920844564178729,104931.33775682193
2020-11-09,0.03205886103874676,108295.31693257768
2020-11-10,0.0020374512678075552,108515.96336335958
2020-11-11,0.0007724201702108971,108599.7832822513
2020-11-12,-0.012039762458593983,107292.26768847821
2020-11-13,0.01751064003382404,109171.02396638386
2020-11-16,0.01567139680593523,110881.88640267131
2020-11-17,-0.0038071119034820615,110459.74665306717
2020-11-18,-0.011164088349330407,109226.56428238768
2020-11-19,0.004709972525056944,109741.01839916411
2020-11-20,-0.005361386516319614,109152.65438283164
2020-11-23,0.011052256165716784,110359.03748023864
2020-11-24,0.01714527856072701,112251.17391953105
2020-11-25,-0.002623454071031544,111956.6881203338
2020-11-27,0.0011685949526242408,112087.52014098376
2020-11-30,-0.007558281206778457,111240.33114398774
2020-12-01,0.0072762900189867015,112049.74805519951
2020-12-02,0.0029038996044428575,112375.12927425493
2020-12-03,0.0046247481831705045,112894.83594919958
2020-12-04,0.013422228713155253,114410.13625784389
2020-12-07,-0.005392762091879079,113793.14961210587
2020-12-08,0.0034328112347352183,114183.78001453022
2020-12-09,-0.006256806389661076,113469.35421013966
2020-12-10,0.001293785314692292,113616.15919428437
2020-12-11,-0.004675269099754612,113084.97307597051
2020-12-14,-0.005980082284039603,112408.71563188781
2020-12-15,0.013302214784722351,113904.00051089797
2020-12-16,0.0005615314496840265,113967.96118942967
2020-12-17,0.00730850803369615,114800.89694936656
2020-12-18,-0.0012158517388012793,114661.31607919474
2020-12-21,-0.004934472863269041,114095.52292653524
2020-12-22,-0.0037795271405428794,113664.29580101998
2020-12-23,0.00251640758153381,113950.32149672337
2020-12-24,0.002563895440646369,114242.47820646902
2020-12-28,0.0024950803180512496,114527.52236532737
2020-12-29,-0.004947903888271859,113960.85119210184
