Date,AAPL,GOOG,GOOGL,AMZN,AVGO,BRK-B,COST,ABBV,BAC,CVX,KO,CSCO,AMD,ABT,BX,AXP,CAT,T,BKNG,SCHW,ANET,BLK,BA,C,ACN,AMGN,BSX,ADBE,AMAT,DHR,DE,COF,APH,ADP,CMCSA,COP,CRWD,ADI,CB,MO,CEG,CME,CDNS,AMT,BMY,CTAS,DELL,APO,CVS,ABNB,MMM,AON,COIN,AJG,BK,CI,CL,AZO,AXON,CSX,ADSK,APD,AEP,DLR,CMG,CARR,AFL,ALL,COR,GLW,CMI,BDX,CTVA,AMP,DDOG,XYZ,CBRE,CCI,AIG,CPRT,AME,BKR,FANG,CSGP,CCL,ED,CAH,CHTR,DAL,CTSH,ACGL,A,BR,BRO,DXCM,STZ,AWK,AEE,ADM,AVB
2025-06-10,202.6699981689453,180.00999450683594,178.60000610351562,217.61000061035156,244.05557250976562,491.1300048828125,1005.87646484375,187.87728881835938,45.09000015258789,143.35000610351562,71.83921813964844,64.76055908203125,123.23999786376953,133.53062438964844,142.0958709716797,298.76568603515625,357.2612609863281,28.13883399963379,5487.97998046875,88.2699966430664,93.69999694824219,991.9000244140625,215.72999572753906,77.5201644897461,319.3229675292969,293.42999267578125,99.33999633789062,416.05999755859375,173.77000427246094,202.29815673828125,514.192138671875,201.0,92.32656860351562,312.9562683105469,35.29644775390625,91.18000030517578,467.6499938964844,233.33999633789062,285.2901916503906,57.561317443847656,291.0199890136719,266.1000061035156,305.69000244140625,212.9341278076172,49.319541931152344,222.22000122070312,112.78895568847656,135.6199951171875,63.56673812866211,138.55999755859375,145.05999755859375,350.973388671875,254.94000244140625,314.3999938964844,89.52285766601562,313.6199951171875,91.39198303222656,3713.570068359375,762.6599731445312,32.61000061035156,297.5400085449219,280.0911560058594,101.87000274658203,176.4619903564453,50.619998931884766,71.5393295288086,102.2699966430664,196.39999389648438,284.239990234375,50.61000061035156,326.989990234375,174.38999938964844,71.55000305175781,515.0216674804688,119.91000366210938,64.4800033569336,132.85000610351562,98.8284912109375,83.88771057128906,50.279998779296875,179.56016540527344,38.87455368041992,145.57000732421875,81.06999969482422,24.510000228881836,102.4000015258789,152.6143798828125,406.7699890136719,51.49873733520508,81.05000305175781,89.7699966430664,120.26671600341797,242.12332153320312,105.48999786376953,84.81999969482422,170.55482482910156,141.27000427246094,95.63999938964844,48.7400016784668,206.1892547607422
2025-06-11,198.77999877929688,178.7899932861328,177.35000610351562,213.1999969482422,252.31613159179688,488.1400146484375,995.4010009765625,189.86016845703125,44.72999954223633,144.77999877929688,71.56119537353516,63.80630111694336,121.13999938964844,134.67547607421875,140.5353546142578,298.3467712402344,361.8146057128906,28.05962562561035,5466.27978515625,88.4000015258789,94.20999908447266,993.2999877929688,214.0,77.86787414550781,317.63140869140625,291.80999755859375,99.4000015258789,412.8399963378906,172.7899932861328,204.3948211669922,519.1963500976562,200.52999877929688,92.90554809570312,310.8169860839844,34.86044692993164,93.3499984741211,476.9800109863281,232.5399932861328,284.6523132324219,58.8882942199707,292.19000244140625,269.6499938964844,307.20001220703125,212.6860809326172,49.5070686340332,221.72000122070312,110.7871322631836,138.02999877929688,65.010986328125,138.05999755859375,147.17999267578125,348.7480773925781,250.67999267578125,312.94000244140625,89.08518981933594,310.20001220703125,91.56097412109375,3658.590087890625,778.3599853515625,32.31999969482422,296.7699890136719,280.4190368652344,101.94000244140625,174.62477111816406,51.790000915527344,72.2671890258789,101.3499984741211,196.17999267578125,286.6400146484375,50.45000076293945,323.5799865722656,172.72000122070312,72.06999969482422,514.0049438476562,118.62999725341797,64.05999755859375,133.8300018310547,98.37337493896484,83.95734405517578,50.5,180.58839416503906,38.82481384277344,148.9199981689453,81.79000091552734,23.8700008392334,102.55000305175781,153.06300354003906,399.7900085449219,48.997535705566406,80.6500015258789,89.38999938964844,119.4684066772461,240.3000030517578,104.4800033569336,82.98999786376953,168.0593719482422,140.61000061035156,95.8499984741211,48.66999816894531,204.77149963378906
2025-06-12,199.1999969482422,176.97000122070312,175.6999969482422,213.24000549316406,255.4687042236328,490.3399963378906,1001.3228149414062,190.7722930908203,44.619998931884766,144.97000122070312,71.72999572753906,64.71086120605469,118.5,135.84024047851562,139.93896484375,297.2395324707031,359.64251708984375,27.990318298339844,5461.9501953125,88.5,95.7699966430664,988.25,203.75,77.71886444091797,316.5468444824219,297.2900085449219,98.55999755859375,413.67999267578125,175.0,204.77423095703125,515.2288818359375,197.67999267578125,94.4328384399414,308.2099914550781,34.94963073730469,94.69000244140625,481.7300109863281,232.1199951171875,288.32000732421875,58.89812088012695,300.3800048828125,270.9599914550781,307.8500061035156,216.0,50.03016662597656,223.57000732421875,112.93834686279297,138.11000061035156,65.63418579101562,138.80999755859375,144.77000427246094,355.03485107421875,241.0500030517578,320.1499938964844,89.23439025878906,315.3699951171875,92.58483123779297,3683.469970703125,775.2000122070312,32.38999938964844,298.57000732421875,281.4822692871094,103.0199966430664,175.30999755859375,50.88999938964844,72.2671890258789,102.62999725341797,200.32000732421875,295.0400085449219,50.81999969482422,324.739990234375,174.4600067138672,72.5199966430664,513.9052124023438,122.68000030517578,63.849998474121094,135.52000427246094,98.96700286865234,85.35000610351562,49.9900016784668,179.66000366210938,38.426918029785156,149.3300018310547,82.37000274658203,23.56999969482422,103.76000213623047,160.03175354003906,396.8999938964844,48.70855712890625,80.45999908447266,91.91000366210938,118.66011047363281,239.8300018310547,106.80000305175781,82.8499984741211,168.82492065429688,141.32000732421875,97.16999816894531,49.65999984741211,207.04190063476562
2025-06-13,196.4499969482422,175.8800048828125,174.6699981689453,212.10000610351562,248.11599731445312,487.5400085449219,988.840087890625,189.4437713623047,44.09000015258789,145.91000366210938,71.0199966430664,63.70689392089844,116.16000366210938,135.01394653320312,135.58544921875,287.06524658203125,355.7467956542969,27.911109924316406,5298.3798828125,87.36000061035156,92.3499984741211,971.8200073242188,200.32000732421875,75.86107635498047,310.1587829589844,295.2200012207031,99.73999786376953,391.67999267578125,170.58999633789062,200.35125732421875,507.9818115234375,192.8300018310547,92.32656860351562,306.82000732421875,34.69198989868164,96.95999908447266,480.6199951171875,225.02999877929688,286.7900085449219,58.790000915527344,296.8900146484375,269.5,300.0,214.8000030517578,49.1024055480957,221.97999572753906,109.11397552490234,132.11000061035156,66.73220825195312,135.5399932861328,142.32000732421875,352.26068115234375,242.7100067138672,316.6400146484375,88.13027954101562,317.3999938964844,89.72200012207031,3642.60009765625,780.6300048828125,32.119998931884766,292.1600036621094,278.5907287597656,102.9000015258789,174.47000122070312,50.2400016784668,71.03082275390625,102.18000030517578,198.9199981689453,295.5400085449219,49.599998474121094,319.5299987792969,172.2100067138672,72.43000030517578,500.0794982910156,120.44999694824219,61.56999969482422,132.97000122070312,98.38999938964844,84.61000061035156,48.59000015258789,176.9600067138672,38.83476257324219,154.91000366210938,81.16000366210938,22.40999984741211,103.95999908447266,160.91905212402344,388.7200012207031,46.8750114440918,78.94999694824219,90.98999786376953,116.83395385742188,237.17999267578125,106.62000274658203,81.98999786376953,163.92352294921875,141.44000244140625,95.69999694824219,52.0,204.41458129882812
2025-06-16,198.4199981689453,177.94000244140625,176.77000427246094,216.10000610351562,251.50802612304688,490.2300109863281,982.9981689453125,189.22564697265625,44.40999984741211,146.02999877929688,70.5199966430664,65.118408203125,126.38999938964844,133.41114807128906,137.4242706298828,293.47906494140625,361.11712646484375,27.69328498840332,5369.0400390625,88.97000122070312,95.08999633789062,982.0999755859375,201.6999969482422,77.55990600585938,312.7657470703125,295.55999755859375,101.48999786376953,401.7300109863281,176.5500030517578,200.79055786132812,522.7849731445312,197.6199951171875,93.21499633789062,307.9100036621094,34.79108428955078,95.0,479.3900146484375,231.8000030517578,286.42999267578125,58.79999923706055,308.010009765625,267.510009765625,300.80999755859375,214.97999572753906,48.02659225463867,222.47000122070312,113.2769546508789,134.10000610351562,66.9795150756836,137.2100067138672,145.07000732421875,349.306884765625,261.57000732421875,316.3299865722656,90.01025390625,314.44000244140625,89.57289123535156,3603.169921875,780.6099853515625,32.560001373291016,299.29998779296875,278.65032958984375,101.91000366210938,176.05999755859375,52.540000915527344,70.83141326904297,102.72000122070312,199.61000061035156,292.5,50.779998779296875,322.30999755859375,172.10000610351562,74.19000244140625,511.2736511230469,121.93000030517578,64.81999969482422,134.10000610351562,99.0,85.44000244140625,48.38999938964844,178.6300048828125,38.78502655029297,151.02999877929688,81.94000244140625,23.84000015258789,101.62999725341797,161.91600036621094,375.2300109863281,49.286521911621094,80.1500015258789,91.13999938964844,118.7698745727539,238.99000549316406,107.12999725341797,83.0,161.8655242919922,140.47000122070312,94.80999755859375,54.15999984741211,205.4456787109375
2025-06-17,195.63999938964844,177.22999572753906,175.9499969482422,214.82000732421875,248.784423828125,483.4800109863281,976.3673095703125,183.89170837402344,44.22999954223633,148.85000610351562,69.62000274658203,64.93948364257812,127.0999984741211,131.6888885498047,134.86981201171875,292.0726013183594,356.37451171875,27.37645149230957,5301.0498046875,88.95999908447266,89.68000030517578,969.1799926757812,200.25999450683594,76.85454559326172,310.4772033691406,290.04998779296875,101.7300033569336,382.67999267578125,174.08999633789062,195.43907165527344,521.4691162109375,193.9199981689453,92.80000305175781,307.6199951171875,34.21635055541992,95.5,492.0299987792969,227.44000244140625,283.79998779296875,58.9900016784668,305.70001220703125,269.70001220703125,299.0,215.13999938964844,46.61520767211914,221.32000732421875,115.45804595947266,132.36000061035156,66.36620330810547,133.3699951171875,142.2100067138672,350.07525634765625,253.85000610351562,316.1300048828125,89.29407501220703,312.510009765625,88.1017074584961,3604.64990234375,777.5399780273438,32.119998931884766,296.8500061035156,275.2917785644531,101.62000274658203,176.05999755859375,51.380001068115234,69.57511138916016,102.08999633789062,198.19000244140625,293.20001220703125,50.47999954223633,314.79998779296875,169.94000244140625,74.20999908447266,505.12335205078125,124.83999633789062,63.31999969482422,132.25999450683594,98.80999755859375,84.22000122070312,48.0,175.5500030517578,39.391815185546875,152.92999267578125,79.88999938964844,23.280000686645508,101.3499984741211,164.4084014892578,373.6199951171875,47.15402603149414,79.70999908447266,90.1500015258789,115.84603118896484,238.75999450683594,108.12000274658203,81.83000183105469,159.62857055664062,140.9199981689453,94.37999725341797,54.099998474121094,204.53355407714844
2025-06-18,196.5800018310547,173.97999572753906,173.32000732421875,212.52000427246094,250.66998291015625,485.1400146484375,973.55126953125,183.90164184570312,45.060001373291016,148.19000244140625,69.20999908447266,65.4464340209961,126.79000091552734,131.81829833984375,136.658935546875,295.67352294921875,358.48675537109375,27.3863525390625,5286.259765625,89.91000366210938,90.23999786376953,979.52001953125,197.67999267578125,77.83807373046875,304.8553161621094,289.6300048828125,101.37000274658203,378.0400085449219,172.83999633789062,194.1311492919922,523.3232421875,197.1699981689453,93.47000122070312,306.7699890136719,33.94880294799805,93.80000305175781,485.1600036621094,229.64999389648438,282.1499938964844,59.4900016784668,306.42999267578125,272.1000061035156,296.8399963378906,215.47999572753906,46.23028564453125,220.4199981689453,116.0854721069336,133.08999633789062,66.118896484375,132.1699981689453,142.50999450683594,350.09521484375,295.2900085449219,317.1300048828125,91.11437225341797,314.3999938964844,87.66433715820312,3603.6298828125,770.7899780273438,32.2400016784668,295.19000244140625,273.63238525390625,101.19999694824219,176.60000610351562,51.83000183105469,69.65487670898438,102.62999725341797,195.6699981689453,296.75,50.4900016784668,314.989990234375,168.58999633789062,74.12000274658203,504.8143310546875,130.0399932861328,63.09000015258789,133.47000122070312,99.37999725341797,84.25,47.880001068115234,177.75999450683594,38.77507781982422,148.77999877929688,79.56999969482422,23.610000610351562,100.7300033569336,164.8968963623047,377.42999267578125,47.3931884765625,79.13999938964844,90.30000305175781,115.27722930908203,237.7899932861328,108.29000091552734,81.01000213623047,159.0718231201172,141.10000610351562,94.41999816894531,53.9900016784668,204.75167846679688
2025-06-20,201.0,167.72999572753906,166.63999938964844,209.69000244140625,249.99000549316406,484.8500061035156,978.9337768554688,183.7132568359375,45.5,149.5500030517578,68.83999633789062,65.92356872558594,128.24000549316406,132.39572143554688,136.8577117919922,297.8380432128906,359.2041320800781,27.49526596069336,5304.02978515625,89.20999908447266,86.25,974.4400024414062,198.75,77.93742370605469,283.9498596191406,289.3299865722656,101.30000305175781,376.9200134277344,169.4600067138672,196.0780487060547,519.734619140625,198.3699951171875,93.81999969482422,306.260009765625,34.21635055541992,94.69000244140625,476.29998779296875,228.35000610351562,283.82000732421875,59.75,304.9200134277344,273.989990234375,295.3999938964844,217.47999572753906,46.250022888183594,218.64999389648438,118.88404083251953,134.52000427246094,65.85181427001953,131.72999572753906,144.02999877929688,353.9571228027344,308.3800048828125,320.1600036621094,91.13426971435547,314.3500061035156,87.25678253173828,3655.330078125,777.3200073242188,32.060001373291016,297.2099914550781,268.7833557128906,101.75,175.4199981689453,52.779998779296875,70.26309204101562,103.30000305175781,195.3300018310547,293.6600036621094,50.41999816894531,314.260009765625,168.4199981689453,73.72000122070312,508.7218322753906,127.5,63.59000015258789,133.88999938964844,100.18000030517578,85.12999725341797,47.970001220703125,176.69000244140625,38.79497146606445,148.85000610351562,79.6500015258789,23.770000457763672,100.97000122070312,162.90298461914062,386.3699951171875,47.03445053100586,75.47000122070312,90.16999816894531,115.31714630126953,236.5,108.63999938964844,80.0,161.45790100097656,141.25,94.69000244140625,53.61000061035156,205.2374725341797
2025-06-23,201.5,166.00999450683594,165.19000244140625,208.47000122070312,253.77000427246094,487.7699890136719,1003.0902709960938,182.18643188476562,46.29999923706055,146.86000061035156,69.73999786376953,66.97722625732422,129.5800018310547,132.6645050048828,137.48391723632812,298.87542724609375,364.893310546875,27.921010971069336,5333.419921875,88.37999725341797,91.94999694824219,986.2999877929688,201.30999755859375,78.84147644042969,293.5319519042969,272.44000244140625,102.36000061035156,380.1199951171875,171.9600067138672,196.0281219482422,512.4576416015625,201.63999938964844,95.25,310.239990234375,34.27580642700195,91.70999908447266,491.80999755859375,230.97999572753906,288.19000244140625,60.4900016784668,315.2099914550781,272.6600036621094,293.55999755859375,221.6300048828125,46.309242248535156,220.89999389648438,117.5395278930664,134.02999877929688,66.08921813964844,130.52999877929688,147.60000610351562,359.1961364746094,307.5899963378906,324.1199951171875,89.15481567382812,316.9700012207031,88.14147186279297,3709.5400390625,783.239990234375,32.41999816894531,300.95001220703125,271.44635009765625,103.30999755859375,177.33999633789062,53.779998779296875,71.5692367553711,104.83999633789062,198.3300018310547,293.1300048828125,51.79999923706055,316.3399963378906,169.72000122070312,74.44000244140625,517.3043823242188,129.52000427246094,63.619998931884766,138.60000610351562,102.52999877929688,85.81999969482422,47.720001220703125,177.27999877929688,37.631126403808594,141.14999389648438,80.04000091552734,24.040000915527344,101.1500015258789,163.49119567871094,392.5799865722656,48.08076477050781,76.72000122070312,91.11000061035156,115.88594818115234,240.36000061035156,110.91999816894531,79.83999633789062,162.35269165039062,143.99000549316406,96.01000213623047,52.81999969482422,205.89181518554688
2025-06-24,200.3000030517578,167.74000549316406,166.77000427246094,212.77000427246094,263.7699890136719,493.4800109863281,1000.5338134765625,183.96112060546875,46.65999984741211,143.5500030517578,70.20999908447266,67.48418426513672,138.42999267578125,137.4629669189453,143.1792755126953,307.6033935546875,371.65850830078125,28.000219345092773,5482.22998046875,89.31999969482422,94.97000122070312,1004.969970703125,200.94000244140625,80.60984802246094,299.2234802246094,277.489990234375,104.12000274658203,382.3399963378906,180.17999267578125,197.15634155273438,512.4775390625,206.36000061035156,95.80000305175781,311.3999938964844,34.89017105102539,89.38999938964844,485.3800048828125,234.97999572753906,286.7799987792969,59.90999984741211,320.6600036621094,271.3800048828125,296.79998779296875,223.91000366210938,46.417808532714844,223.1999969482422,120.09906768798828,139.91000366210938,66.85092163085938,132.14999389648438,149.8699951171875,359.9245910644531,344.82000732421875,325.9800109863281,90.71649169921875,316.8299865722656,87.6543960571289,3577.5400390625,794.25,32.47999954223633,304.19000244140625,279.21673583984375,103.27999877929688,177.66000366210938,54.650001525878906,72.24724578857422,104.16000366210938,196.0500030517578,294.1199951171875,51.41999816894531,323.8500061035156,171.57000732421875,73.29000091552734,519.6768188476562,130.8300018310547,65.33999633789062,139.1300048828125,103.19000244140625,85.45999908447266,48.650001525878906,179.24000549316406,37.770389556884766,139.35000610351562,81.0,25.700000762939453,100.19000244140625,163.7105255126953,403.5,49.386173248291016,77.58999633789062,90.97000122070312,117.39277648925781,241.8000030517578,110.94999694824219,87.56999969482422,163.53578186035156,142.17999267578125,96.37000274658203,52.93000030517578,204.36502075195312
2025-06-25,201.55999755859375,171.49000549316406,170.67999267578125,211.99000549316406,264.6499938964844,486.2099914550781,985.1751098632812,183.802490234375,46.849998474121094,143.22999572753906,69.62999725341797,67.78239440917969,143.39999389648438,136.78599548339844,142.70217895507812,307.8128662109375,370.2237548828125,27.643781661987305,5485.35009765625,89.80000305175781,96.30999755859375,1018.0800170898438,198.89999389648438,82.0901107788086,293.1339416503906,280.3500061035156,104.29000091552734,387.54998779296875,183.07000732421875,200.68072509765625,505.14080810546875,208.02999877929688,97.0199966430664,298.19000244140625,34.523536682128906,89.0,494.0899963378906,234.67999267578125,282.82000732421875,58.939998626708984,315.1400146484375,273.0299987792969,297.5299987792969,220.22000122070312,46.07236862182617,219.24000549316406,119.96959686279297,137.72999572753906,65.65397644042969,129.6699981689453,147.75,353.7176208496094,355.3699951171875,317.42999267578125,89.52285766601562,316.0,87.27666473388672,3489.5400390625,785.0700073242188,32.4900016784668,302.3699951171875,280.21038818359375,101.41000366210938,172.25,55.13999938964844,72.21733093261719,102.4800033569336,190.94000244140625,292.32000732421875,51.38999938964844,318.75,170.89999389648438,73.23999786376953,522.3482666015625,130.24000549316406,64.80999755859375,135.22000122070312,101.81999969482422,83.9000015258789,48.13999938964844,178.0,37.38243865966797,138.0399932861328,81.26000213623047,25.479999542236328,98.05000305175781,163.25192260742188,398.8500061035156,48.14055633544922,76.9800033569336,89.2300033569336,118.37071990966797,238.16000366210938,108.37999725341797,84.68000030517578,160.59295654296875,140.0500030517578,95.0999984741211,52.29999923706055,199.49705505371094
2025-06-26,201.0,174.42999267578125,173.5399932861328,217.1199951171875,270.1700134277344,485.04998779296875,981.5501098632812,185.19049072265625,47.459999084472656,144.44000244140625,69.47000122070312,68.537841796875,143.67999267578125,133.07266235351562,147.2843017578125,310.6357421875,380.4861755371094,27.722990036010742,5596.0,89.44000244140625,101.58999633789062,1030.7900390625,202.5800018310547,83.8187484741211,294.6065673828125,279.1099853515625,104.58000183105469,384.95001220703125,183.52000427246094,201.13999938964844,506.9251708984375,210.50999450683594,96.9800033569336,302.9800109863281,34.89017105102539,90.88999938964844,505.2200012207031,237.3000030517578,283.57000732421875,58.790000915527344,322.510009765625,272.8299865722656,303.69000244140625,217.52000427246094,46.04275894165039,220.44000244140625,125.46713256835938,139.35000610351562,67.40487670898438,133.72000122070312,150.75999450683594,352.80950927734375,375.07000732421875,318.3900146484375,89.5626449584961,330.0,87.2667236328125,3522.25,803.9500122070312,32.56999969482422,304.92999267578125,281.20404052734375,102.3499984741211,169.58999633789062,54.27000045776367,72.37686157226562,103.91000366210938,194.14999389648438,296.5799865722656,51.70000076293945,324.20001220703125,169.97000122070312,74.30000305175781,523.8035278320312,131.1199951171875,65.11000061035156,138.08999633789062,100.3499984741211,84.97000122070312,48.2400016784668,179.82000732421875,38.11854553222656,140.8699951171875,81.5,26.170000076293945,98.41000366210938,165.10626220703125,394.010009765625,48.798240661621094,77.58999633789062,90.29000091552734,119.16902923583984,239.1699981689453,109.2699966430664,85.04000091552734,160.38417053222656,138.4199981689453,95.37999725341797,53.16999816894531,202.38214111328125
2025-06-27,201.0800018310547,178.27000427246094,178.52999877929688,223.3000030517578,269.3500061035156,485.67999267578125,983.777099609375,180.7488555908203,47.119998931884766,143.7899932861328,70.33000183105469,68.23963928222656,143.80999755859375,133.77951049804688,150.19659423828125,316.3912048339844,383.30584716796875,27.80219841003418,5693.1298828125,89.9800033569336,99.38999938964844,1047.8199462890625,214.5500030517578,83.82867431640625,293.9896545410156,277.1300048828125,106.52999877929688,385.8299865722656,183.2100067138672,198.8000030517578,511.7200012207031,211.00999450683594,97.66999816894531,303.45001220703125,34.999176025390625,90.16999816894531,499.3299865722656,236.9600067138672,285.1199951171875,58.75,320.1700134277344,274.760009765625,305.20001220703125,217.77999877929688,45.74666213989258,220.75,123.4852294921875,142.9199981689453,67.7510986328125,134.52000427246094,152.02000427246094,351.99127197265625,353.42999267578125,317.7300109863281,90.69660186767578,326.30999755859375,88.18123626708984,3609.489990234375,818.5999755859375,32.90999984741211,305.1300048828125,280.55816650390625,102.45999908447266,171.36000061035156,55.04999923706055,73.45368957519531,105.06999969482422,195.75999450683594,299.4200134277344,51.81999969482422,325.7200012207031,170.86000061035156,74.38999938964844,526.3853149414062,132.0800018310547,66.62999725341797,139.3800048828125,100.6500015258789,84.58999633789062,48.18000030517578,180.52999877929688,37.85991668701172,139.77000427246094,80.76000213623047,27.260000228881836,98.1500015258789,166.67147827148438,400.9700012207031,49.41606521606445,77.73999786376953,90.31999969482422,118.9195556640625,239.4499969482422,109.58000183105469,86.33000183105469,160.3941192626953,137.9199981689453,95.30999755859375,51.97999954223633,202.6300048828125
2025-06-30,205.1699981689453,177.38999938964844,176.22999572753906,219.38999938964844,275.6499938964844,485.7699890136719,988.5704345703125,184.030517578125,47.31999969482422,143.19000244140625,70.75,68.96527099609375,141.89999389648438,135.40220642089844,148.67584228515625,318.17669677734375,386.7930603027344,28.653690338134766,5789.240234375,91.23999786376953,102.30999755859375,1049.25,209.52999877929688,84.5638427734375,297.402587890625,279.2099914550781,107.41000366210938,386.8800048828125,183.07000732421875,197.5399932861328,508.489990234375,212.75999450683594,98.75,308.3999938964844,35.365814208984375,89.73999786376953,509.30999755859375,238.02000427246094,289.7200012207031,58.630001068115234,322.760009765625,275.6199951171875,308.1499938964844,221.02000427246094,45.687442779541016,222.8699951171875,122.10088348388672,141.8699951171875,68.2358169555664,132.33999633789062,152.24000549316406,356.0128173828125,350.489990234375,320.1199951171875,90.6269760131836,330.5799865722656,90.35818481445312,3712.22998046875,827.9400024414062,32.630001068115234,309.57000732421875,280.2699890136719,103.76000213623047,174.3300018310547,56.150001525878906,72.97510528564453,105.45999908447266,201.30999755859375,299.8500061035156,52.59000015258789,327.5,172.25,74.52999877929688,532.0272216796875,134.3300018310547,67.93000030517578,140.1199951171875,102.7300033569336,85.58999633789062,49.06999969482422,180.9600067138672,38.13844299316406,137.39999389648438,80.4000015258789,28.1200008392334,100.3499984741211,167.48899841308594,408.80999755859375,49.007503509521484,78.02999877929688,91.05000305175781,117.76200103759766,243.02999877929688,110.87000274658203,87.29000091552734,161.73626708984375,139.11000061035156,96.04000091552734,52.779998779296875,203.5
2025-07-01,207.82000732421875,176.91000366210938,175.83999633789062,220.4600067138672,264.739990234375,489.6099853515625,984.595947265625,188.36309814453125,48.150001525878906,145.57000732421875,71.66999816894531,68.68695068359375,136.11000061035156,135.65109252929688,151.84657287597656,321.7177429199219,389.4931945800781,28.594282150268555,5730.72998046875,91.16999816894531,98.91000366210938,1054.27001953125,209.7899932861328,85.70632934570312,301.114013671875,290.5199890136719,104.77999877929688,392.1000061035156,183.75999450683594,201.10000610351562,508.3599853515625,215.17999267578125,97.38999938964844,310.1300048828125,36.000003814697266,91.98999786376953,492.07000732421875,240.63999938964844,289.5899963378906,58.13999938964844,307.9200134277344,275.4200134277344,309.4599914550781,224.47000122070312,46.89155960083008,224.30999755859375,121.23443603515625,141.6300048828125,68.829345703125,135.41000366210938,153.80999755859375,356.18243408203125,335.3299865722656,319.489990234375,90.1694107055664,334.3900146484375,91.49138641357422,3718.590087890625,775.3800048828125,33.470001220703125,311.6700134277344,285.4700012207031,104.38999938964844,171.25,58.2400016784668,74.08184814453125,105.77999877929688,200.13999938964844,295.3299865722656,52.59000015258789,329.6199951171875,177.6699981689453,75.11000061035156,536.8817138671875,132.3300018310547,68.2699966430664,141.6199951171875,103.72000122070312,85.87000274658203,49.63999938964844,183.05999755859375,38.48659896850586,140.1999969482422,81.91000366210938,28.639999389648438,100.77999877929688,164.39999389648438,418.2200012207031,48.8281364440918,80.44000244140625,91.5,120.44999694824219,244.72999572753906,108.93000030517578,83.58000183105469,165.45457458496094,142.55999755859375,96.38999938964844,54.45000076293945,203.27999877929688
2025-07-02,212.44000244140625,179.75999450683594,178.63999938964844,219.9199981689453,269.8999938964844,480.4800109863281,981.0009155273438,189.11659240722656,48.709999084472656,147.97999572753906,70.91000366210938,68.17999267578125,138.52000427246094,133.51071166992188,152.6317901611328,324.78997802734375,396.97576904296875,28.029922485351562,5701.759765625,91.33999633789062,101.12999725341797,1070.5699462890625,212.02999877929688,86.19313049316406,300.7856750488281,296.8500061035156,103.62999725341797,378.4700012207031,190.00999450683594,202.5,520.3099975585938,218.80999755859375,98.5199966430664,305.04998779296875,35.83000183105469,94.44000244140625,496.1000061035156,245.14999389648438,280.0799865722656,59.16999816894531,306.6300048828125,275.82000732421875,310.95001220703125,222.8300018310547,47.01000213623047,215.66000366210938,122.97731018066406,142.77999877929688,65.88148498535156,135.38999938964844,153.97000122070312,350.813720703125,354.45001220703125,315.739990234375,91.60177612304688,320.3900146484375,91.8492431640625,3685.340087890625,774.5499877929688,33.61000061035156,310.3399963378906,290.29998779296875,103.26000213623047,172.16000366210938,56.77000045776367,75.03902435302734,103.5199966430664,194.69000244140625,291.1700134277344,52.720001220703125,333.44000244140625,177.27000427246094,77.0,540.70947265625,135.00999450683594,69.22000122070312,142.50999450683594,103.16999816894531,82.36000061035156,49.08000183105469,181.99000549316406,39.620609283447266,141.97000122070312,81.41999816894531,29.649999618530273,99.91999816894531,161.97999572753906,412.260009765625,49.95417404174805,80.25,88.37999725341797,120.66000366210938,238.02000427246094,107.80999755859375,83.58000183105469,172.86135864257812,140.30999755859375,95.4800033569336,55.900001525878906,202.0
2025-07-03,213.5500030517578,180.5500030517578,179.52999877929688,223.41000366210938,275.17999267578125,485.0,985.6544799804688,187.6591796875,48.93000030517578,148.3699951171875,71.3499984741211,69.37000274658203,137.91000366210938,133.8392333984375,154.1923065185547,328.1300048828125,396.4078369140625,28.07942771911621,5716.7998046875,91.4800033569336,102.5199966430664,1082.1500244140625,215.9199981689453,88.14031982421875,303.2632751464844,298.239990234375,104.31999969482422,379.30999755859375,191.0500030517578,203.1999969482422,520.969970703125,220.91000366210938,99.45999908447266,309.20001220703125,35.9900016784668,93.68000030517578,514.0999755859375,245.67999267578125,283.79998779296875,59.650001525878906,311.8800048828125,276.70001220703125,326.80999755859375,221.75,46.91999816894531,219.36000061035156,124.71022033691406,144.47000122070312,66.7025375366211,136.49000549316406,152.94000244140625,354.0169982910156,355.79998779296875,318.1000061035156,91.93997192382812,319.75,92.22697448730469,3769.260009765625,795.47998046875,33.599998474121094,316.6600036621094,291.8399963378906,103.86000061035156,172.60000610351562,57.06999969482422,75.4278793334961,104.56999969482422,198.0,296.2300109863281,53.040000915527344,331.8299865722656,176.16000366210938,77.12000274658203,541.5667114257812,155.14999389648438,69.2300033569336,143.17999267578125,102.91999816894531,83.18000030517578,49.31999969482422,184.19000244140625,39.43160629272461,140.89999389648438,82.12000274658203,29.959999084472656,100.30999755859375,164.92999267578125,416.9700012207031,50.68161392211914,80.9800033569336,89.19000244140625,121.37999725341797,242.1300048828125,108.69999694824219,82.93000030517578,171.3203582763672,140.0500030517578,96.0199966430664,55.310001373291016,202.57000732421875
